"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4688","test","API test","Wed Sep 04 11:40:53 EEST 2024","passed","Wed Sep 04 11:40:58 EEST 2024","API.Offer.OfferMain.OfferMainBasicInfoAPI","Offer Main API test","API.Offer.OfferMain.OfferMainBasicInfoAPI","test"
"","8223","test","API test","Wed Sep 04 11:21:27 EEST 2024","passed","Wed Sep 04 11:21:36 EEST 2024","API.Admin.AdminGeneralAPI","Admin API test","API.Admin.AdminGeneralAPI","test"
"","29776","test","API test","Wed Sep 04 11:37:47 EEST 2024","passed","Wed Sep 04 11:38:17 EEST 2024","API.AdvertPlus.AdvertContactsFindAPI","Adverts API test","API.AdvertPlus.AdvertContactsFindAPI","test"
"","4218","test","API test","Wed Sep 04 11:23:17 EEST 2024","passed","Wed Sep 04 11:23:22 EEST 2024","API.Advert.AdvertNotesAPI","Adverts API test","API.Advert.AdvertNotesAPI","test"
"","2015","test","API test","Wed Sep 04 11:41:08 EEST 2024","passed","Wed Sep 04 11:41:10 EEST 2024","API.Settings.System.SettingsGeneralAPI","System Settings API test","API.Settings.System.SettingsGeneralAPI","test"
"","2186","test","API test","Wed Sep 04 11:23:15 EEST 2024","passed","Wed Sep 04 11:23:17 EEST 2024","API.Advert.AdvertPostbackAPI","Adverts API test","API.Advert.AdvertPostbackAPI","test"
"Проверка работы метода фильтрациии Offer Main","64439","test","API test","Wed Sep 04 11:39:43 EEST 2024","failed","Wed Sep 04 11:40:48 EEST 2024","API.Offer.OfferMain.OfferMainFilter","Offer Main API test","API.Offer.OfferMain.OfferMainFilter","test"
"","3797","test","API test","Wed Sep 04 11:41:57 EEST 2024","passed","Wed Sep 04 11:42:01 EEST 2024","API.Settings.Content.ContentMessengerAPI","Content Settings API test","API.Settings.Content.ContentMessengerAPI","test"
"","579","test","API test","Wed Sep 04 11:41:07 EEST 2024","passed","Wed Sep 04 11:41:08 EEST 2024","API.Offer.OfferMain.OfferMainPageAPI_NEED_TO_DO","Offer Main API test","API.Offer.OfferMain.OfferMainPageAPI_NEED_TO_DO","test"
"","7684","test","API test","Wed Sep 04 11:23:27 EEST 2024","passed","Wed Sep 04 11:23:34 EEST 2024","API.Advert.AdvertDocumentAPI","Adverts API test","API.Advert.AdvertDocumentAPI","test"
"","80825","test","API test","Wed Sep 04 11:36:21 EEST 2024","passed","Wed Sep 04 11:37:42 EEST 2024","API.AdvertPlus.AdvertBulkCheck","Adverts API test","API.AdvertPlus.AdvertBulkCheck","test"
"Проверка работы фильтров","744916","test","API test","Wed Sep 04 11:23:52 EEST 2024","failed","Wed Sep 04 11:36:16 EEST 2024","API.Advert.AdvertFilterAPI","Adverts API test","API.Advert.AdvertFilterAPI","test"
"","7180","test","API test","Wed Sep 04 11:39:28 EEST 2024","passed","Wed Sep 04 11:39:35 EEST 2024","API.Offer.OfferDraft.OfferDraftBasicInfoAPI","Offer Draft API test","API.Offer.OfferDraft.OfferDraftBasicInfoAPI","test"
"","7234","test","API test","Wed Sep 04 11:23:39 EEST 2024","passed","Wed Sep 04 11:23:47 EEST 2024","API.Advert.AdvertAccessAPI","Adverts API test","API.Advert.AdvertAccessAPI","test"
"","11687","test","API test","Wed Sep 04 11:22:46 EEST 2024","passed","Wed Sep 04 11:22:58 EEST 2024","API.Advert.AdvertContactsAPI","Adverts API test","API.Advert.AdvertContactsAPI","test"
"Проверка работы метода get adminList","697","test","API test","Wed Sep 04 11:21:59 EEST 2024","passed","Wed Sep 04 11:21:59 EEST 2024","API.Admin.AdminListAPI","Admin API test","API.Admin.AdminListAPI","test"
"","3493","test","API test","Wed Sep 04 11:41:24 EEST 2024","passed","Wed Sep 04 11:41:27 EEST 2024","API.Settings.Content.ContentGoalAPI","Content Settings API test","API.Settings.Content.ContentGoalAPI","test"
"","3633","test","API test","Wed Sep 04 11:41:36 EEST 2024","passed","Wed Sep 04 11:41:40 EEST 2024","API.Settings.Content.ContentOfferTagAPI","Content Settings API test","API.Settings.Content.ContentOfferTagAPI","test"
"","6328","test","API test","Wed Sep 04 11:21:59 EEST 2024","passed","Wed Sep 04 11:22:06 EEST 2024","API.Admin.AffiliateManagerAPI","Admin API test","API.Admin.AffiliateManagerAPI","test"
"","3609","test","API test","Wed Sep 04 11:41:45 EEST 2024","passed","Wed Sep 04 11:41:48 EEST 2024","API.Settings.Content.ContentAdvertTagAPI","Content Settings API test","API.Settings.Content.ContentAdvertTagAPI","test"
"","3720","test","API test","Wed Sep 04 11:41:48 EEST 2024","passed","Wed Sep 04 11:41:52 EEST 2024","API.Settings.Content.ContentTaskTagAPI","Content Settings API test","API.Settings.Content.ContentTaskTagAPI","test"
"","2161","test","API test","Wed Sep 04 11:39:40 EEST 2024","passed","Wed Sep 04 11:39:42 EEST 2024","API.Offer.OfferDraft.OfferDraftTrackingAPI","Offer Draft API test","API.Offer.OfferDraft.OfferDraftTrackingAPI","test"
"Проверка работы метода фильтрациии Админов","13095","test","API test","Wed Sep 04 11:21:41 EEST 2024","failed","Wed Sep 04 11:21:54 EEST 2024","API.Admin.AdminFilterAPI","Admin API test","API.Admin.AdminFilterAPI","test"
"ТЕСТ ЗАВЕРШЕН НА 30% - Проверка работы метода get Main Offer List","1411","test","API test","Wed Sep 04 11:39:42 EEST 2024","passed","Wed Sep 04 11:39:43 EEST 2024","API.Offer.OfferMain.OfferMainList","Offer Main API test","API.Offer.OfferMain.OfferMainList","test"
"","4113","test","API test","Wed Sep 04 11:41:20 EEST 2024","passed","Wed Sep 04 11:41:24 EEST 2024","API.Settings.Content.ContentCategoryAPI","Content Settings API test","API.Settings.Content.ContentCategoryAPI","test"
"","3767","test","API test","Wed Sep 04 11:41:32 EEST 2024","passed","Wed Sep 04 11:41:36 EEST 2024","API.Settings.Content.ContentTrafficSourceAPI","Content Settings API test","API.Settings.Content.ContentTrafficSourceAPI","test"
"","7582","test","API test","Wed Sep 04 11:23:03 EEST 2024","passed","Wed Sep 04 11:23:10 EEST 2024","API.Advert.AdvertPaymentInfoAPI","Adverts API test","API.Advert.AdvertPaymentInfoAPI","test"
"","4682","test","API test","Wed Sep 04 11:40:58 EEST 2024","passed","Wed Sep 04 11:41:02 EEST 2024","API.Offer.OfferMain.OfferAccessAPI","Offer Main API test","API.Offer.OfferMain.OfferAccessAPI","test"
"ТЕСТ ЗАВЕРШЕН НА 30% - Проверка работы метода get Draft Offer List","1088","test","API test","Wed Sep 04 11:38:22 EEST 2024","passed","Wed Sep 04 11:38:23 EEST 2024","API.Offer.OfferDraft.OfferDraftList","Offer Draft API test","API.Offer.OfferDraft.OfferDraftList","test"
"","4722","test","API test","Wed Sep 04 11:41:10 EEST 2024","passed","Wed Sep 04 11:41:15 EEST 2024","API.Settings.System.SettingsEmailAPI","System Settings API test","API.Settings.System.SettingsEmailAPI","test"
"Проверка работы метода фильтрациии Offer Draft !!! НЕ РАБОТАЕТ BACK","59464","test","API test","Wed Sep 04 11:38:23 EEST 2024","failed","Wed Sep 04 11:39:23 EEST 2024","API.Offer.OfferDraft.OfferDraftFilter","Offer Draft API test","API.Offer.OfferDraft.OfferDraftFilter","test"
"","30184","test","API test","Wed Sep 04 11:22:11 EEST 2024","passed","Wed Sep 04 11:22:41 EEST 2024","API.Advert.AdvertPrimaryInfoAPI","Adverts API test","API.Advert.AdvertPrimaryInfoAPI","test"
